Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__CommandSupport__AND__DeploymentShooter__AND__KW_Tactician(2),interaction,0.03461260352971241,,,,,,,,CommandSupport | DeploymentShooter | KW_Tactician(2),3,4,0.03461260352971241
INT__CommandSupport__AND__DeploymentShooter__AND__KW_Teleport,interaction,-0.004869799826397514,,,,,,,,CommandSupport | DeploymentShooter | KW_Teleport,3,11,0.004869799826397514
INT__CommandSupport__AND__DeploymentShooter__AND__KW_Weight of Fire(1),interaction,0.07089591135979476,,,,,,,,CommandSupport | DeploymentShooter | KW_Weight of Fire(1),3,14,0.07089591135979476
INT__CommandSupport__AND__DeploymentShooter__AND__SupportAuraDurable,interaction,-0.001474025258735209,,,,,,,,CommandSupport | DeploymentShooter | SupportAuraDurable,3,13,0.001474025258735209
INT__CommandSupport__AND__DeploymentShooter__AND__TacticianDurable,interaction,-0.001474025258735209,,,,,,,,CommandSupport | DeploymentShooter | TacticianDurable,3,13,0.001474025258735209
INT__CommandSupport__AND__FireControlRapidWeight__AND__KW_Fire Control,interaction,-0.012648912119062841,,,,,,,,CommandSupport | FireControlRapidWeight | KW_Fire Control,3,13,0.012648912119062841
INT__CommandSupport__AND__FireControlRapidWeight__AND__KW_Hacker,interaction,-0.004869799826397514,,,,,,,,CommandSupport | FireControlRapidWeight | KW_Hacker,3,11,0.004869799826397514
INT__CommandSupport__AND__FireControlRapidWeight__AND__KW_Tactician(1),interaction,-0.012648912119062841,,,,,,,,CommandSupport | FireControlRapidWeight | KW_Tactician(1),3,13,0.012648912119062841
INT__CommandSupport__AND__FireControlRapidWeight__AND__KW_Teleport,interaction,-0.004869799826397514,,,,,,,,CommandSupport | FireControlRapidWeight | KW_Teleport,3,11,0.004869799826397514
INT__CommandSupport__AND__FireControlRapidWeight__AND__KW_Weight of Fire(1),interaction,-0.012648912119062841,,,,,,,,CommandSupport | FireControlRapidWeight | KW_Weight of Fire(1),3,13,0.012648912119062841
