Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__HasSuppression__AND__KW_Defender Shield,interaction,-0.003890122225983414,,,,,,,,HasSuppression | KW_Defender Shield,2,2,0.003890122225983414
INT__HasSuppression__AND__KW_Energy Shield(3),interaction,0.0053824294594062025,,,,,,,,HasSuppression | KW_Energy Shield(3),2,2,0.0053824294594062025
INT__HasSuppression__AND__KW_Evade,interaction,0.010121596674486748,,,,,,,,HasSuppression | KW_Evade,2,2,0.010121596674486748
INT__HasSuppression__AND__KW_Fire Control,interaction,2.2632105163099616e-05,,,,,,,,HasSuppression | KW_Fire Control,2,9,2.2632105163099616e-05
INT__HasSuppression__AND__KW_Firing Platform(1),interaction,0.004738592550435794,,,,,,,,HasSuppression | KW_Firing Platform(1),2,2,0.004738592550435794
INT__HasSuppression__AND__KW_Flight,interaction,0.005282677085668221,,,,,,,,HasSuppression | KW_Flight,2,2,0.005282677085668221
INT__HasSuppression__AND__KW_Frag(3),interaction,-0.0008594962339461015,,,,,,,,HasSuppression | KW_Frag(3),2,2,0.0008594962339461015
INT__HasSuppression__AND__KW_Frenzy(1),interaction,0.005057523272829609,,,,,,,,HasSuppression | KW_Frenzy(1),2,2,0.005057523272829609
INT__HasSuppression__AND__KW_Hacker,interaction,0.0012255143193511855,,,,,,,,HasSuppression | KW_Hacker,2,8,0.0012255143193511855
INT__HasSuppression__AND__KW_Headstrong,interaction,0.0038024206498450713,,,,,,,,HasSuppression | KW_Headstrong,2,3,0.0038024206498450713
INT__HasSuppression__AND__KW_Honourable,interaction,0.002407798055618249,,,,,,,,HasSuppression | KW_Honourable,2,3,0.002407798055618249
INT__HasSuppression__AND__KW_Invigorate,interaction,-5.8368084028704345e-05,,,,,,,,HasSuppression | KW_Invigorate,2,2,5.8368084028704345e-05
INT__HasSuppression__AND__KW_Jump Pack,interaction,0.0052313271688012005,,,,,,,,HasSuppression | KW_Jump Pack,2,3,0.0052313271688012005
INT__HasSuppression__AND__KW_Knockback,interaction,-0.0027717138254500116,,,,,,,,HasSuppression | KW_Knockback,2,7,0.0027717138254500116
INT__HasSuppression__AND__KW_Non-Lethal,interaction,-0.0007525256537609435,,,,,,,,HasSuppression | KW_Non-Lethal,2,2,0.0007525256537609435
INT__HasSuppression__AND__KW_Psychic,interaction,0.003521852669078302,,,,,,,,HasSuppression | KW_Psychic,2,7,0.003521852669078302
INT__HasSuppression__AND__KW_Resilient(1),interaction,0.0006935391400926523,,,,,,,,HasSuppression | KW_Resilient(1),2,4,0.0006935391400926523
INT__HasSuppression__AND__KW_Smash(1),interaction,0.0022189624803414265,,,,,,,,HasSuppression | KW_Smash(1),2,2,0.0022189624803414265
INT__HasSuppression__AND__KW_Solid,interaction,0.005701234533423813,,,,,,,,HasSuppression | KW_Solid,2,4,0.005701234533423813
INT__HasSuppression__AND__KW_Stun,interaction,-5.8368084028704345e-05,,,,,,,,HasSuppression | KW_Stun,2,2,5.8368084028704345e-05
INT__HasSuppression__AND__KW_Tactician(1),interaction,-0.0018022087062991958,,,,,,,,HasSuppression | KW_Tactician(1),2,3,0.0018022087062991958
INT__HasSuppression__AND__KW_Tactician(2),interaction,-5.8368084028704345e-05,,,,,,,,HasSuppression | KW_Tactician(2),2,2,5.8368084028704345e-05
INT__HasSuppression__AND__KW_Tenacious,interaction,0.006177321329820106,,,,,,,,HasSuppression | KW_Tenacious,2,3,0.006177321329820106
INT__HasSuppression__AND__KW_Vehicle,interaction,0.0008235037786561429,,,,,,,,HasSuppression | KW_Vehicle,2,2,0.0008235037786561429
INT__HasSuppression__AND__KW_Walker,interaction,0.0009693257526582916,,,,,,,,HasSuppression | KW_Walker,2,9,0.0009693257526582916
INT__HasSuppression__AND__KW_Weight of Fire(1),interaction,0.002044680653517021,,,,,,,,HasSuppression | KW_Weight of Fire(1),2,17,0.002044680653517021
INT__HasSuppression__AND__KW_Weight of Fire(2),interaction,-0.0016128015331989714,,,,,,,,HasSuppression | KW_Weight of Fire(2),2,6,0.0016128015331989714
INT__HasRapidFire__AND__HasWeightOfFire,interaction,0.0015599513385185912,,,,,,,,HasRapidFire | HasWeightOfFire,2,32,0.0015599513385185912
INT__HasRapidFire__AND__Durable,interaction,0.008539470233694306,,,,,,,,HasRapidFire | Durable,2,23,0.008539470233694306
INT__HasRapidFire__AND__ArmouredDurable,interaction,0.004457587243273434,,,,,,,,HasRapidFire | ArmouredDurable,2,10,0.004457587243273434
INT__HasRapidFire__AND__FlyingShooter,interaction,-0.000800247492481017,,,,,,,,HasRapidFire | FlyingShooter,2,2,0.000800247492481017
INT__HasRapidFire__AND__SupportAura,interaction,-0.010662201474076293,,,,,,,,HasRapidFire | SupportAura,2,30,0.010662201474076293
INT__HasRapidFire__AND__EliteAllRounder,interaction,0.0008081821758936659,,,,,,,,HasRapidFire | EliteAllRounder,2,12,0.0008081821758936659
INT__HasRapidFire__AND__IsLeader,interaction,-0.005730110056804851,,,,,,,,HasRapidFire | IsLeader,2,15,0.005730110056804851
INT__HasRapidFire__AND__IsLegend,interaction,0.0009482671444349784,,,,,,,,HasRapidFire | IsLegend,2,14,0.0009482671444349784
INT__HasRapidFire__AND__IsSupport,interaction,0.0009586702023476638,,,,,,,,HasRapidFire | IsSupport,2,2,0.0009586702023476638
INT__HasRapidFire__AND__IsSpecialist,interaction,-0.0014866659732097277,,,,,,,,HasRapidFire | IsSpecialist,2,25,0.0014866659732097277
INT__HasRapidFire__AND__IsTroop,interaction,0.0016600167837752665,,,,,,,,HasRapidFire | IsTroop,2,32,0.0016600167837752665
INT__HasRapidFire__AND__HasTactician,interaction,-0.006532548147141373,,,,,,,,HasRapidFire | HasTactician,2,27,0.006532548147141373
INT__HasRapidFire__AND__HasSpecialOrder,interaction,-0.006146667818485504,,,,,,,,HasRapidFire | HasSpecialOrder,2,26,0.006146667818485504
INT__HasRapidFire__AND__HasFireControl,interaction,-0.0004165577616806517,,,,,,,,HasRapidFire | HasFireControl,2,11,0.0004165577616806517
INT__HasRapidFire__AND__FireControlMultiWeapon,interaction,-0.0004165577616806517,,,,,,,,HasRapidFire | FireControlMultiWeapon,2,11,0.0004165577616806517
INT__HasRapidFire__AND__CommandSupport,interaction,-0.006532548147141373,,,,,,,,HasRapidFire | CommandSupport,2,27,0.006532548147141373
INT__HasRapidFire__AND__RoleCommandLeader,interaction,-0.006532548147141373,,,,,,,,HasRapidFire | RoleCommandLeader,2,27,0.006532548147141373
INT__HasRapidFire__AND__SecretMissionTarget,interaction,-0.006258105827666927,,,,,,,,HasRapidFire | SecretMissionTarget,2,42,0.006258105827666927
INT__HasRapidFire__AND__HasMobilityKeyword,interaction,-0.011887969242583481,,,,,,,,HasRapidFire | HasMobilityKeyword,2,30,0.011887969242583481
INT__HasRapidFire__AND__HasDeploymentTrick,interaction,-0.001807858543042378,,,,,,,,HasRapidFire | HasDeploymentTrick,2,19,0.001807858543042378
INT__HasRapidFire__AND__MobileShooter,interaction,-0.005177027004688691,,,,,,,,HasRapidFire | MobileShooter,2,33,0.005177027004688691
INT__HasRapidFire__AND__MobileMeleeThreat,interaction,-0.0009069464037770215,,,,,,,,HasRapidFire | MobileMeleeThreat,2,4,0.0009069464037770215
INT__HasRapidFire__AND__RoleDeploymentSpecialist,interaction,-0.002089723149216894,,,,,,,,HasRapidFire | RoleDeploymentSpecialist,2,5,0.002089723149216894
INT__HasRapidFire__AND__DeploymentShooter,interaction,-0.001807858543042378,,,,,,,,HasRapidFire | DeploymentShooter,2,19,0.001807858543042378
INT__HasRapidFire__AND__FireControlRapidWeight,interaction,-0.0004165577616806517,,,,,,,,HasRapidFire | FireControlRapidWeight,2,11,0.0004165577616806517
INT__HasRapidFire__AND__TacticianDurable,interaction,0.0012619799382672281,,,,,,,,HasRapidFire | TacticianDurable,2,14,0.0012619799382672281
INT__HasRapidFire__AND__SupportAuraDurable,interaction,-0.00037422430812798107,,,,,,,,HasRapidFire | SupportAuraDurable,2,15,0.00037422430812798107
INT__HasRapidFire__AND__KW_Aerial Deployment,interaction,-0.0011158532346477454,,,,,,,,HasRapidFire | KW_Aerial Deployment,2,3,0.0011158532346477454
INT__HasRapidFire__AND__KW_Agile,interaction,0.0019230021330130871,,,,,,,,HasRapidFire | KW_Agile,2,3,0.0019230021330130871
INT__HasRapidFire__AND__KW_Bike,interaction,0.0010085722739092175,,,,,,,,HasRapidFire | KW_Bike,2,5,0.0010085722739092175
INT__HasRapidFire__AND__KW_Charged,interaction,0.0028174843091087216,,,,,,,,HasRapidFire | KW_Charged,2,2,0.0028174843091087216
INT__HasRapidFire__AND__KW_Companion,interaction,0.0005969416898181109,,,,,,,,HasRapidFire | KW_Companion,2,2,0.0005969416898181109
INT__HasRapidFire__AND__KW_Dismantle,interaction,-0.006763388394283364,,,,,,,,HasRapidFire | KW_Dismantle,2,6,0.006763388394283364
INT__HasRapidFire__AND__KW_Elusive(1),interaction,0.00246196021752851,,,,,,,,HasRapidFire | KW_Elusive(1),2,2,0.00246196021752851
INT__HasRapidFire__AND__KW_Energy Shield(2),interaction,0.0005969416898181109,,,,,,,,HasRapidFire | KW_Energy Shield(2),2,2,0.0005969416898181109
INT__HasRapidFire__AND__KW_Engineer,interaction,-0.0024934490805397095,,,,,,,,HasRapidFire | KW_Engineer,2,2,0.0024934490805397095
INT__HasRapidFire__AND__KW_Evade,interaction,-0.001726331119623452,,,,,,,,HasRapidFire | KW_Evade,2,3,0.001726331119623452
INT__HasRapidFire__AND__KW_Fire Control,interaction,-0.0032967042878133328,,,,,,,,HasRapidFire | KW_Fire Control,2,12,0.0032967042878133328
INT__HasRapidFire__AND__KW_Flight,interaction,-0.000800247492481017,,,,,,,,HasRapidFire | KW_Flight,2,2,0.000800247492481017
INT__HasRapidFire__AND__KW_Frenzy(1),interaction,-0.004378224308284071,,,,,,,,HasRapidFire | KW_Frenzy(1),2,10,0.004378224308284071
INT__HasRapidFire__AND__KW_Hacker,interaction,-0.0021867209480916625,,,,,,,,HasRapidFire | KW_Hacker,2,22,0.0021867209480916625
INT__HasRapidFire__AND__KW_Headstrong,interaction,-0.0015498456432938806,,,,,,,,HasRapidFire | KW_Headstrong,2,10,0.0015498456432938806
INT__HasRapidFire__AND__KW_It Burns!(3),interaction,-0.005298923846327664,,,,,,,,HasRapidFire | KW_It Burns!(3),2,4,0.005298923846327664
INT__HasRapidFire__AND__KW_Jump Pack,interaction,-0.011620296206865744,,,,,,,,HasRapidFire | KW_Jump Pack,2,12,0.011620296206865744
INT__HasRapidFire__AND__KW_Knockback,interaction,0.0019914519108586524,,,,,,,,HasRapidFire | KW_Knockback,2,7,0.0019914519108586524
INT__HasRapidFire__AND__KW_Life Support,interaction,0.005836301996028801,,,,,,,,HasRapidFire | KW_Life Support,2,5,0.005836301996028801
INT__HasRapidFire__AND__KW_Prey,interaction,-0.005258963395743541,,,,,,,,HasRapidFire | KW_Prey,2,3,0.005258963395743541
INT__HasRapidFire__AND__KW_Recon(4+),interaction,-0.007639036200420833,,,,,,,,HasRapidFire | KW_Recon(4+),2,6,0.007639036200420833
INT__HasRapidFire__AND__KW_Recon(5+),interaction,-0.0021517087305732248,,,,,,,,HasRapidFire | KW_Recon(5+),2,7,0.0021517087305732248
INT__HasRapidFire__AND__KW_Resilient(1),interaction,0.003592497575055183,,,,,,,,HasRapidFire | KW_Resilient(1),2,7,0.003592497575055183
INT__HasRapidFire__AND__KW_Scout,interaction,-0.0002754475467139837,,,,,,,,HasRapidFire | KW_Scout,2,5,0.0002754475467139837
INT__HasRapidFire__AND__KW_Smash(1),interaction,0.0011888453931285712,,,,,,,,HasRapidFire | KW_Smash(1),2,4,0.0011888453931285712
INT__HasRapidFire__AND__KW_Solid,interaction,0.006004894811571849,,,,,,,,HasRapidFire | KW_Solid,2,9,0.006004894811571849
INT__HasRapidFire__AND__KW_Tactician(1),interaction,-0.0005890118601052298,,,,,,,,HasRapidFire | KW_Tactician(1),2,22,0.0005890118601052298
INT__HasRapidFire__AND__KW_Tactician(2),interaction,-0.0055955548777272485,,,,,,,,HasRapidFire | KW_Tactician(2),2,4,0.0055955548777272485
INT__HasRapidFire__AND__KW_Teleport,interaction,-0.0004165577616806517,,,,,,,,HasRapidFire | KW_Teleport,2,11,0.0004165577616806517
INT__HasRapidFire__AND__KW_Weight of Fire(1),interaction,-0.0007960635164368816,,,,,,,,HasRapidFire | KW_Weight of Fire(1),2,30,0.0007960635164368816
INT__HasRapidFire__AND__KW_Weight of Fire(2),interaction,-0.001588112666285881,,,,,,,,HasRapidFire | KW_Weight of Fire(2),2,4,0.001588112666285881
INT__HasWeightOfFire__AND__Durable,interaction,0.0010034251448945621,,,,,,,,HasWeightOfFire | Durable,2,51,0.0010034251448945621
INT__HasWeightOfFire__AND__ArmouredDurable,interaction,0.0013527361637003135,,,,,,,,HasWeightOfFire | ArmouredDurable,2,17,0.0013527361637003135
INT__HasWeightOfFire__AND__LongRangeAP,interaction,0.003603779445840596,,,,,,,,HasWeightOfFire | LongRangeAP,2,2,0.003603779445840596
INT__HasWeightOfFire__AND__FlyingShooter,interaction,0.0005894087289398028,,,,,,,,HasWeightOfFire | FlyingShooter,2,4,0.0005894087289398028
INT__HasWeightOfFire__AND__SupportAura,interaction,0.005173124467703161,,,,,,,,HasWeightOfFire | SupportAura,2,41,0.005173124467703161
INT__HasWeightOfFire__AND__EliteAllRounder,interaction,0.0030583109527360054,,,,,,,,HasWeightOfFire | EliteAllRounder,2,18,0.0030583109527360054
INT__HasWeightOfFire__AND__IsLeader,interaction,0.0019494656992216346,,,,,,,,HasWeightOfFire | IsLeader,2,10,0.0019494656992216346
INT__HasWeightOfFire__AND__IsLegend,interaction,0.005339531762670278,,,,,,,,HasWeightOfFire | IsLegend,2,32,0.005339531762670278
INT__HasWeightOfFire__AND__IsSupport,interaction,0.0023161412677442407,,,,,,,,HasWeightOfFire | IsSupport,2,11,0.0023161412677442407
INT__HasWeightOfFire__AND__IsSpecialist,interaction,-0.0073718288976205495,,,,,,,,HasWeightOfFire | IsSpecialist,2,33,0.0073718288976205495
INT__HasWeightOfFire__AND__IsTroop,interaction,-0.012114426575760884,,,,,,,,HasWeightOfFire | IsTroop,2,24,0.012114426575760884
INT__HasWeightOfFire__AND__HasTactician,interaction,0.004744645686687605,,,,,,,,HasWeightOfFire | HasTactician,2,39,0.004744645686687605
INT__HasWeightOfFire__AND__HasSpecialOrder,interaction,0.0014925811517665843,,,,,,,,HasWeightOfFire | HasSpecialOrder,2,33,0.0014925811517665843
INT__HasWeightOfFire__AND__HasFireControl,interaction,0.0017789625179091815,,,,,,,,HasWeightOfFire | HasFireControl,2,22,0.0017789625179091815
INT__HasWeightOfFire__AND__HasRampage,interaction,-0.0037609126842792365,,,,,,,,HasWeightOfFire | HasRampage,2,2,0.0037609126842792365
INT__HasWeightOfFire__AND__FireControlMultiWeapon,interaction,0.0014315036145881425,,,,,,,,HasWeightOfFire | FireControlMultiWeapon,2,16,0.0014315036145881425
INT__HasWeightOfFire__AND__FireControlStrongMultiWeapon,interaction,0.0019290911814302673,,,,,,,,HasWeightOfFire | FireControlStrongMultiWeapon,2,2,0.0019290911814302673
INT__HasWeightOfFire__AND__CommandSupport,interaction,0.004744645686687605,,,,,,,,HasWeightOfFire | CommandSupport,2,39,0.004744645686687605
INT__HasWeightOfFire__AND__RoleCommandLeader,interaction,0.004744645686687605,,,,,,,,HasWeightOfFire | RoleCommandLeader,2,39,0.004744645686687605
INT__HasWeightOfFire__AND__RoleHeavySupport,interaction,0.004221655031965405,,,,,,,,HasWeightOfFire | RoleHeavySupport,2,9,0.004221655031965405
INT__HasWeightOfFire__AND__SecretMissionTarget,interaction,-0.0031062219306546776,,,,,,,,HasWeightOfFire | SecretMissionTarget,2,54,0.0031062219306546776
INT__HasWeightOfFire__AND__HasMobilityKeyword,interaction,0.0031658207149712243,,,,,,,,HasWeightOfFire | HasMobilityKeyword,2,33,0.0031658207149712243
INT__HasWeightOfFire__AND__HasDeploymentTrick,interaction,-0.0006848916909182967,,,,,,,,HasWeightOfFire | HasDeploymentTrick,2,21,0.0006848916909182967
INT__HasWeightOfFire__AND__MobileShooter,interaction,-0.0003597440839868808,,,,,,,,HasWeightOfFire | MobileShooter,2,36,0.0003597440839868808
INT__HasWeightOfFire__AND__MobileMeleeThreat,interaction,-0.001173823578295696,,,,,,,,HasWeightOfFire | MobileMeleeThreat,2,7,0.001173823578295696
INT__HasWeightOfFire__AND__RoleDeploymentSpecialist,interaction,-0.0013089936024247048,,,,,,,,HasWeightOfFire | RoleDeploymentSpecialist,2,5,0.0013089936024247048
INT__HasWeightOfFire__AND__DeploymentMeleeThreat,interaction,-0.0015712170887419623,,,,,,,,HasWeightOfFire | DeploymentMeleeThreat,2,2,0.0015712170887419623
INT__HasWeightOfFire__AND__DeploymentShooter,interaction,-0.0006848916909182967,,,,,,,,HasWeightOfFire | DeploymentShooter,2,21,0.0006848916909182967
INT__HasWeightOfFire__AND__RampageDurable,interaction,-0.0037609126842792365,,,,,,,,HasWeightOfFire | RampageDurable,2,2,0.0037609126842792365
